,theta_2,theta_3,R3,theta_4,R4,R5,h3,f3,h4,f4,f5,h3p,f3p,h4p,f4p,f5p,T,F12,F14,F23,F34,F45
357,3.569999999999968,44.00993278238029,-1.8199442088325812,44.00993278238029,-2.0410981742954863,228.36838110396042,0.012558250028291891,-0.027498124303377877,-0.0,-0.0,-0.0,0.0274875696165829,0.012547695341496915,-0.0,-0.0,-0.0,322.70870165428414,78.25003924679146,57.33204722374473,160.3534395943504,-55.09218733331221,98.10000000000001
358,3.5799999999999677,44.010060311753314,-1.811547931404979,44.010060311753314,-2.0316816073231667,228.37780126792606,0.012950004054743369,-0.0276215874584942,-0.0,-0.0,-0.0,0.02761055136582222,0.01293896796207139,-0.0,-0.0,-0.0,321.0775889258523,77.78562979228056,57.34081058439144,159.53788323013447,-55.09965865072263,98.10000000000001
359,3.5899999999999674,44.010191798268266,-1.802970664393255,44.010191798268266,-2.02206205747482,228.38742452630697,0.013349792066556496,-0.027748921410451963,-0.0,-0.0,-0.0,0.027737381378026334,0.01333825203413087,-0.0,-0.0,-0.0,319.40162669038216,77.30773695813642,57.34983052717949,158.6999021123994,-55.10740946056037,98.10000000000001
360,3.5999999999999672,44.01032732393744,-1.7942132676784195,44.01032732393744,-2.0122404891215253,228.39724991703662,0.013757953371319891,-0.027880204551463717,-0.0,-0.0,-0.0,0.027868136620415606,0.013745885440271785,-0.0,-0.0,-0.0,317.6812150642968,76.81640166013068,57.359112868276654,157.83969629935675,-55.11544646407177,98.10000000000001
361,3.609999999999967,44.0104669742351,-1.7852766192420306,44.0104669742351,-2.002217886934431,228.40727645784546,0.014174841326098156,-0.028015518582474315,-0.0,-0.0,-0.0,0.02800289726904469,0.014162220012668533,-0.0,-0.0,-0.0,315.9167707369935,76.31166585952664,57.36866366883067,156.95747413570507,-55.12377667412048,98.10000000000001
362,3.619999999999967,44.01061083824186,-1.7761616150817097,44.01061083824186,-1.9919952557900276,228.41750314635956,0.014600824142858092,-0.028154948648854976,-0.0,-0.0,-0.0,0.028141746836251726,0.014587622330254863,-0.0,-0.0,-0.0,314.1087275183304,75.79357254563601,57.37848924562843,156.05345252637352,-55.13240743018381,98.10000000000001
363,3.6299999999999666,44.010759008797436,-1.766869169125021,44.010759008797436,-1.9815736206734955,228.4279289602016,0.015036285744310167,-0.02829858348368274,-0.0,-0.0,-0.0,0.028284772304936763,0.01502247456556419,-0.0,-0.0,-0.0,312.25753692386286,75.2621657175031,57.388596182344415,155.12785722913978,-55.14134641429763,98.10000000000001
364,3.6399999999999664,44.010911582662224,-1.7574002131417679,44.010911582662224,-1.9709540265804097,228.43855285709355,0.015481626674091583,-0.028446515559352393,-0.0,-0.0,-0.0,0.028432064270337842,0.01546717538507704,-0.0,-0.0,-0.0,310.36366880046893,74.71749036466122,57.3989913414445,154.18092316744278,-55.150601668024194,98.10000000000001
365,3.649999999999966,44.011068660688245,-1.7477556966547043,44.011068660688245,-1.960137538416579,228.4493737749618,0.01593726506533206,-0.028598841247890163,-0.0,-0.0,-0.0,0.028583717089588272,0.015922140907030178,-0.0,-0.0,-0.0,308.42761199524534,74.15959244691855,57.40968187676676,153.212894764831,-55.16018161050929,98.10000000000001
366,3.659999999999966,44.01123034800006,-1.7379365868486918,44.01123034800006,-1.9491252408961637,228.4603906320438,0.016403637672078798,-0.02875566099055965,-0.0,-0.0,-0.0,0.028739829039548154,0.016387805721067298,-0.0,-0.0,-0.0,306.449875070747,73.5885188731142,57.42067524682818,152.22402630258182,-55.17009505771084,98.10000000000001
367,3.6699999999999657,44.011396754186386,-1.727943868478323,44.011396754186386,-1.9379182384380749,228.47160232699727,0.016881200968407867,-0.02891707947733397,-0.0,-0.0,-0.0,0.028900502483376875,0.016864623974450762,-0.0,-0.0,-0.0,304.43098706991503,73.00431747878966,57.431979228901206,151.21458230216584,-55.18035124288395,98.10000000000001
